id_gol;id_tekme;strelec;podajalec
1;1;20;13
2;1;20;6
3;1;38;30
4;2;17;6
5;3;4;13
6;3;12;20
7;3;66;69
8;3;78;69
9;4;78;69
10;5;20;19
11;5;20;12
12;5;20;13
13;5;12;5
14;5;120;112
15;5;111;114
16;6;19;20
17;6;6;4
18;6;140;131
19;7;5;13
20;7;16;13
21;7;158;160
22;7;156;159
23;7;149;148
24;7;144;149
25;8;20;19
26;8;19;20
27;8;17;9
28;8;12;9
29;8;178;168
30;8;178;168
31;8;174;173
32;9;12;12
33;9;20;13
34;9;196;193
35;9;199;194
36;9;200;189
37;9;200;188
38;10;38;31
39;10;34;35
40;10;31;35
41;10;38;31
42;11;25;24
43;11;32;31
44;11;39;31
45;11;55;48
46;12;36;31
47;12;34;31
48;12;79;63
49;12;79;65
50;12;79;69
51;12;77;76
52;13;40;33
53;13;88;95
54;13;99;100
55;13;94;95
56;13;93;92
57;14;37;31
58;14;39;34
59;14;38;31
60;14;27;29
61;14;113;119
62;15;38;34
63;15;38;31
64;15;28;24
65;16;28;26
66;16;33;25
67;16;35;38
68;16;38;31
69;16;155;151
70;16;154;155
71;17;38;31
72;17;38;31
73;17;38;31
74;17;178;166
75;17;174;180
76;18;40;34
77;18;40;29
78;19;51;41
79;19;44;58
80;19;60;51
81;20;46;55
82;20;54;56
83;20;60;49
84;21;80;78
85;21;77;68
86;21;75;69
87;21;66;67
88;23;46;51
89;23;47;52
90;23;59;52
91;23;111;108
92;23;115;105
93;23;119;118
94;24;56;51
95;24;57;54
96;24;57;44
97;24;135;134
98;24;135;129
99;24;139;130
100;24;138;131
101;25;156;153
102;25;153;155
103;25;160;149
104;27;49;46
105;27;192;199
106;27;199;192
107;27;200;194
108;27;188;193
109;28;66;72
110;28;67;74
111;28;66;75
112;28;64;77
113;29;38;33
114;29;39;28
115;29;33;31
116;29;32;31
117;30;59;54
118;30;54;53
119;31;70;66
120;31;70;69
121;31;99;92
122;31;87;86
123;32;76;68
124;32;78;72
125;32;119;109
126;32;114;108
127;32;111;110
128;33;79;66
129;33;79;80
130;33;69;65
131;33;134;133
132;33;139;129
133;33;140;128
134;34;65;67
135;34;80;79
136;34;77;73
137;34;66;69
138;34;151;158
139;34;150;156
140;34;149;156
141;35;79;72
142;35;177;172
143;36;71;75
144;36;70;71
145;36;192;189
146;37;100;99
147;37;100;91
148;37;100;89
149;37;99;88
150;37;20;19
151;37;19;4
152;37;20;12
153;38;39;31
154;38;38;31
155;39;95;88
156;39;91;94
157;39;92;94
158;40;91;90
159;40;83;90
160;40;86;89
161;40;77;80
162;40;78;79
163;40;78;66
164;40;66;65
165;41;97;85
166;41;98;89
167;41;94;88
168;41;91;90
169;41;119;108
170;41;118;119
171;42;135;129
172;42;138;131
173;42;137;132
174;42;138;131
175;43;88;99
176;43;159;160
177;43;150;146
178;44;100;93
179;44;177;170
180;44;172;171
181;44;169;170
182;45;197;189
183;46;114;112
184;46;116;114
185;46;119;116
186;46;119;116
187;46;11;14
188;47;31;26
189;47;29;31
190;47;31;29
191;47;39;33
192;47;119;109
193;47;115;106
194;48;120;111
195;48;59;60
196;49;119;111
197;50;119;110
198;50;115;108
199;50;113;119
200;50;88;89
201;50;93;94
202;51;107;109
203;51;133;135
204;51;140;130
205;52;111;117
206;52;157;160
207;53;117;110
208;53;119;111
209;53;169;170
210;53;174;171
211;53;173;179
212;53;180;174
213;54;120;115
214;54;119;120
215;54;120;104
216;54;113;111
217;54;192;190
218;55;129;131
219;55;134;131
220;55;132;130
221;55;14;12
222;55;20;19
223;55;20;5
224;55;20;9
225;56;38;34
226;56;38;24
227;57;130;131
228;57;45;51
229;58;139;135
230;58;140;132
231;58;123;132
232;58;70;80
233;58;69;78
234;58;69;77
235;58;67;78
236;59;134;139
237;59;139;140
238;59;139;135
239;59;88;98
240;59;90;100
241;59;86;90
242;60;140;131
243;60;118;110
244;60;111;109
245;60;114;119
246;61;134;131
247;61;133;131
248;61;132;131
249;61;139;132
250;61;150;156
251;61;149;158
252;61;149;153
253;62;128;129
254;62;127;134
255;62;136;128
256;62;177;180
257;62;178;179
258;62;179;169
259;63;140;134
260;63;139;133
261;63;200;194
262;64;155;149
